ticker,Data,Modello,DeltaT,Strike(K),Moneyness,Prezzo a scadenza del sottostante(S),Delta(S−K),Delta(%),S (giorno analisi),Rend.(K−S0)/S0 (%),source_file
AAPL,23/01/2024,MND Rab,1Y,211.3632663,1.082914573,229.98,18.61673367,8.807932424,195.18,8.291457286,AAPL_mnd_mode.csv
AAPL,23/01/2024,MND BS,1Y,212.3440704,1.087939698,229.98,17.63592965,8.305355369,195.18,8.793969849,AAPL_mnd_mode.csv
AAPL,19/07/2024,MND Rab,6M,239.5270101,1.067839196,229.98,-9.54701005,-3.985775988,224.31,6.783919598,AAPL_mnd_mode.csv
AAPL,19/07/2024,MND BS,6M,240.654196,1.072864322,229.98,-10.67419598,-4.435491322,224.31,7.286432161,AAPL_mnd_mode.csv
AAPL,18/10/2024,MND Rab,3M,249.7613065,1.06281407,229.98,-19.78130653,-7.920084503,235,6.281407035,AAPL_mnd_mode.csv
AAPL,18/10/2024,MND BS,3M,249.7613065,1.06281407,229.98,-19.78130653,-7.920084503,235,6.281407035,AAPL_mnd_mode.csv
AAPL,18/12/2024,MND Rab,1M,246.1802764,0.992462312,229.98,-16.20027638,-6.580655697,248.05,-0.753768844,AAPL_mnd_mode.csv
AAPL,18/12/2024,MND BS,1M,246.1802764,0.992462312,229.98,-16.20027638,-6.580655697,248.05,-0.753768844,AAPL_mnd_mode.csv
ISP,25/06/2024,MND Rab,1Y,3.436981156,0.977386935,4.812,1.375018844,40.00658665,3.5165,-2.261306533,ISP_mnd_mode.csv
ISP,25/06/2024,MND BS,1Y,3.45465201,0.98241206,4.812,1.35734799,39.29044043,3.5165,-1.75879397,ISP_mnd_mode.csv
ISP,20/12/2024,MND Rab,6M,3.862899497,1.007537688,4.812,0.949100503,24.56964006,3.834,0.753768844,ISP_mnd_mode.csv
ISP,20/12/2024,MND BS,6M,3.862899497,1.007537688,4.812,0.949100503,24.56964006,3.834,0.753768844,ISP_mnd_mode.csv
ISP,21/03/2025,MND Rab,3M,4.742594221,0.98241206,4.812,0.069405779,1.463455983,4.8275,-1.75879397,ISP_mnd_mode.csv
ISP,21/03/2025,MND BS,3M,5.130734925,1.06281407,4.812,-0.318734925,-6.212266455,4.8275,6.281407035,ISP_mnd_mode.csv
ISP,21/05/2025,MND Rab,1M,4.888801508,0.987437186,4.812,-0.076801508,-1.570968006,4.951,-1.256281407,ISP_mnd_mode.csv
ISP,21/05/2025,MND BS,1M,4.888801508,0.987437186,4.812,-0.076801508,-1.570968006,4.951,-1.256281407,ISP_mnd_mode.csv
NVDA,23/01/2024,MND Rab,1Y,70.55386181,1.17839196,137.71,67.15613819,95.18421312,59.873,17.83919598,NVDA_mnd_mode.csv
NVDA,23/01/2024,MND BS,1Y,81.98689698,1.369346734,137.71,55.72310302,67.96586414,59.873,36.93467337,NVDA_mnd_mode.csv
NVDA,19/07/2024,MND Rab,6M,106.3740452,0.90201005,137.71,31.33595477,29.45827124,117.93,-9.798994975,NVDA_mnd_mode.csv
NVDA,19/07/2024,MND BS,6M,106.3740452,0.90201005,137.71,31.33595477,29.45827124,117.93,-9.798994975,NVDA_mnd_mode.csv
NVDA,18/10/2024,MND Rab,3M,150.1356784,1.087939698,137.71,-12.42567839,-8.276299495,138,8.793969849,NVDA_mnd_mode.csv
NVDA,18/10/2024,MND BS,3M,150.1356784,1.087939698,137.71,-12.42567839,-8.276299495,138,8.793969849,NVDA_mnd_mode.csv
NVDA,18/12/2024,MND Rab,1M,126.6427387,0.98241206,137.71,11.06726131,8.738962392,128.91,-1.75879397,NVDA_mnd_mode.csv
NVDA,18/12/2024,MND BS,1M,126.6427387,0.98241206,137.71,11.06726131,8.738962392,128.91,-1.75879397,NVDA_mnd_mode.csv
