ticker,date,DeltaT,Modello,Measure,Moneyness,Density
AAPL,2024-01-23,1.43Y,BS,RND,0.5301507537688442,0.0013871388851949
AAPL,2024-01-23,1.43Y,BS,RND,0.535175879396985,0.0014243661534433
AAPL,2024-01-23,1.43Y,BS,RND,0.5402010050251256,0.0014625239857173
AAPL,2024-01-23,1.43Y,BS,RND,0.5452261306532663,0.0015230153546086
AAPL,2024-01-23,1.43Y,BS,RND,0.550251256281407,0.0015836376141464
AAPL,2024-01-23,1.43Y,BS,RND,0.5552763819095478,0.00164674679597
AAPL,2024-01-23,1.43Y,BS,RND,0.5603015075376885,0.0017100205398377
AAPL,2024-01-23,1.43Y,BS,RND,0.5653266331658292,0.0017758724224042
AAPL,2024-01-23,1.43Y,BS,RND,0.5703517587939698,0.0018417174523562
AAPL,2024-01-23,1.43Y,BS,RND,0.5753768844221105,0.0019074714404257
AAPL,2024-01-23,1.43Y,BS,RND,0.5804020100502513,0.00197306611532
AAPL,2024-01-23,1.43Y,BS,RND,0.585427135678392,0.0020368286886966
AAPL,2024-01-23,1.43Y,BS,RND,0.5904522613065326,0.0021002529551701
AAPL,2024-01-23,1.43Y,BS,RND,0.5954773869346733,0.0021602565629642
AAPL,2024-01-23,1.43Y,BS,RND,0.6005025125628141,0.0022197617017636
AAPL,2024-01-23,1.43Y,BS,RND,0.6055276381909548,0.0022747806196189
AAPL,2024-01-23,1.43Y,BS,RND,0.6105527638190955,0.0023292201533012
AAPL,2024-01-23,1.43Y,BS,RND,0.6155778894472362,0.0023789719423136
AAPL,2024-01-23,1.43Y,BS,RND,0.6206030150753769,0.0024281033636289
AAPL,2024-01-23,1.43Y,BS,RND,0.6256281407035176,0.0024726854218329
AAPL,2024-01-23,1.43Y,BS,RND,0.6306532663316583,0.0025171158387747
AAPL,2024-01-23,1.43Y,BS,RND,0.6356783919597989,0.002560531425729
AAPL,2024-01-23,1.43Y,BS,RND,0.6407035175879396,0.0026032577981399
AAPL,2024-01-23,1.43Y,BS,RND,0.6457286432160804,0.0026417504240671
AAPL,2024-01-23,1.43Y,BS,RND,0.6507537688442211,0.0026802751258484
