ticker,Data,Modello,DeltaT,Strike(K),Moneyness,Prezzo a scadenza del sottostante(S),Delta(S−K),Delta(%),S (giorno analisi),Rend.(K−S0)/S0 (%),source_file
AAPL,23/01/2024,RND Rab,1Y,209.4016583,1.072864322,229.98,20.57834171,9.82721048,195.18,7.286432161,AAPL_rnd_mode.csv
AAPL,23/01/2024,RND BS,1Y,211.3632663,1.082914573,229.98,18.61673367,8.807932424,195.18,8.291457286,AAPL_rnd_mode.csv
AAPL,19/07/2024,RND Rab,6M,238.3998241,1.06281407,229.98,-8.419824121,-3.531808025,224.31,6.281407035,AAPL_rnd_mode.csv
AAPL,19/07/2024,RND BS,6M,239.5270101,1.067839196,229.98,-9.54701005,-3.985775988,224.31,6.783919598,AAPL_rnd_mode.csv
AAPL,18/10/2024,RND Rab,3M,248.580402,1.057788945,229.98,-18.60040201,-7.482650225,235,5.778894472,AAPL_rnd_mode.csv
AAPL,18/10/2024,RND BS,3M,249.7613065,1.06281407,229.98,-19.78130653,-7.920084503,235,6.281407035,AAPL_rnd_mode.csv
AAPL,18/12/2024,RND Rab,1M,244.933794,0.987437186,229.98,-14.95379397,-6.105239186,248.05,-1.256281407,AAPL_rnd_mode.csv
AAPL,18/12/2024,RND BS,1M,246.1802764,0.992462312,229.98,-16.20027638,-6.580655697,248.05,-0.753768844,AAPL_rnd_mode.csv
ISP,25/06/2024,RND Rab,1Y,3.419310302,0.972361809,4.812,1.392689698,40.7301349,3.5165,-2.763819095,ISP_rnd_mode.csv
ISP,25/06/2024,RND BS,1Y,3.436981156,0.977386935,4.812,1.375018844,40.00658665,3.5165,-2.261306533,ISP_rnd_mode.csv
ISP,20/12/2024,RND Rab,6M,3.843633166,1.002512563,4.812,0.968366834,25.19404929,3.834,0.251256281,ISP_rnd_mode.csv
ISP,20/12/2024,RND BS,6M,3.843633166,1.002512563,4.812,0.968366834,25.19404929,3.834,0.251256281,ISP_rnd_mode.csv
ISP,21/03/2025,RND Rab,3M,4.669817839,0.967336683,4.812,0.142182161,3.044704648,4.8275,-3.266331658,ISP_rnd_mode.csv
ISP,21/03/2025,RND BS,3M,4.694076633,0.972361809,4.812,0.117923367,2.512173875,4.8275,-2.763819095,ISP_rnd_mode.csv
ISP,21/05/2025,RND Rab,1M,4.863922111,0.98241206,4.812,-0.051922111,-1.067494696,4.951,-1.75879397,ISP_rnd_mode.csv
ISP,21/05/2025,RND BS,1M,4.863922111,0.98241206,4.812,-0.051922111,-1.067494696,4.951,-1.75879397,ISP_rnd_mode.csv
NVDA,23/01/2024,RND Rab,1Y,46.78518342,0.781407035,137.71,90.92481658,194.3453246,59.873,-21.85929648,NVDA_rnd_mode.csv
NVDA,23/01/2024,RND BS,1Y,51.29822362,0.85678392,137.71,86.41177638,168.4498415,59.873,-14.32160804,NVDA_rnd_mode.csv
NVDA,19/07/2024,RND Rab,6M,105.7814322,0.896984925,137.71,31.92856784,30.18352766,117.93,-10.30150754,NVDA_rnd_mode.csv
NVDA,19/07/2024,RND BS,6M,105.7814322,0.896984925,137.71,31.92856784,30.18352766,117.93,-10.30150754,NVDA_rnd_mode.csv
NVDA,18/10/2024,RND Rab,3M,121.7035176,0.881909548,137.71,16.00648241,13.1520294,138,-11.80904523,NVDA_rnd_mode.csv
NVDA,18/10/2024,RND BS,3M,121.7035176,0.881909548,137.71,16.00648241,13.1520294,138,-11.80904523,NVDA_rnd_mode.csv
NVDA,18/12/2024,RND Rab,1M,125.3471608,0.972361809,137.71,12.3628392,9.862879316,128.91,-2.763819095,NVDA_rnd_mode.csv
NVDA,18/12/2024,RND BS,1M,125.3471608,0.972361809,137.71,12.3628392,9.862879316,128.91,-2.763819095,NVDA_rnd_mode.csv
